objectID,date,old_date,unconverted_date,weekday,unixtimestamp,batch,noinbatch,contents,sender,senderimgurl,textimgurl,notes
9977322,12/16/2016 20:20,12/16/2016 20:20,,Friday,1481919628,FOX/DCNF,1,Talked witit^l^ffTFwHI follow up first thing Mon,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152291/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156221/DCNFbatchimage_1.png,null
9977321,12/18/2016 9:11,12/18/2016 9:11,,Sunday,1482052306,FOX/DCNF,2,There is no wav he goes to london and it doesn't come up.,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156222/DCNFbatchimage_2.png,null
9977320,1/3/2017 18:58,1/3/2017 18:58,,Tuesday,1483469887,FOX/DCNF,3,"Forgot one thing 1 wanted to mention - CG is having a briefing to the US Atty on Fri. 1 think Bill got us invited via SAC, at least for the firat 10 mimutes, we want to frame the case in the context of everything. Wanted to h^/kk^kl L"", %D",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152291/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156223/DCNFbatchimage_3.png,null
9977319,1/3/2017 19:20,1/3/2017 19:20,,Tuesday,1483471235,FOX/DCNF,4,Well sh*t. Sorry O Also ran into Andy in the garage. Sometimes I'm so God damn stupid awkward it's embarrassing. It kills me. ��,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152291/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156225/DCNFbatchimage_4.png,null
9977318,1/3/2017 19:38,1/3/2017 19:38,,Tuesday,1483472333,FOX/DCNF,5,"Why, what happened?",Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156227/DCNFbatchimage_5.png,null
9977317,1/3/2017 20:03,1/3/2017 20:03,,Tuesday,1483473801,FOX/DCNF,6,To andy,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156228/DCNFbatchimage_6.png,null
9977316,1/3/2017 20:03,1/5/2017 11:57,,Tuesday,1483617472,FOX/DCNF,7,"Just called vour desk. Sorry, crazy morning.",Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156230/DCNFbatchimage_7.png,null
9977315,1/5/2017 11:58,1/5/2017 11:58,,Thursday,1483617509,FOX/DCNF,8,K. Walking back call you in 30 sec,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152291/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156232/DCNFbatchimage_8.png,null
9977314,1/11/2017 8:28,1/11/2017 8:28,,Wednesday,1484123280,FOX/DCNF,9,1 can obviously talk if you want,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152291/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156233/DCNFbatchimage_9.png,null
9977313,1/11/2017 8:52,1/11/2017 8:52,,Wednesday,1484124720,FOX/DCNF,10,Ok 1 am inexplicably f*cking waiting to get into the building,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152291/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156233/DCNFbatchimage_10.png,null
9977312,1/13/2017 0:00,1/13/2017 0:00,,Friday,1484265654,FOX/DCNF,11,"Just talked to Agency, can 1 talk to vou Andy Jim?",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152291/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156233/DCNFbatchimage_11.png,null
9977311,1/13/2017 21:17,1/13/2017 21:17,,Friday,1484342220,FOX/DCNF,12,Wrong!,Page,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1536796178/Page_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156233/DCNFbatchimage_12.png,null
9977310,1/13/2017 21:18,1/13/2017 21:18,,Friday,1484342280,FOX/DCNF,13,Ok Donald �,Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152291/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156234/DCNFbatchimage_13.png,null
9977309,1/14/2017 9:11,1/14/2017 9:11,,Saturday,1484385060,FOX/DCNF,14,"Btw, see email. Team. �",Strzok,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537152291/Strzok_round_300.png,https://res.cloudinary.com/dzuo8xgmx/image/upload/v1537156234/DCNFbatchimage_14.png,null
